Year,Bundesland,Day-Month,Value,Date
2020,Schleswig-Holstein,01.01.,102.0,01.01.2020
2020,Hamburg,01.01.,49.0,01.01.2020
2020,Niedersachsen,01.01.,277.0,01.01.2020
2020,Bremen,01.01.,17.0,01.01.2020
2020,Nordrhein-Westfalen,01.01.,580.0,01.01.2020
2020,Hessen,01.01.,189.0,01.01.2020
2020,Rheinland-Pfalz,01.01.,142.0,01.01.2020
2020,Baden-Württemberg,01.01.,308.0,01.01.2020
2020,Bayern,01.01.,395.0,01.01.2020
2020,Saarland,01.01.,34.0,01.01.2020
2020,Berlin,01.01.,91.0,01.01.2020
2020,Brandenburg,01.01.,103.0,01.01.2020
2020,Mecklenburg-Vorpommern,01.01.,62.0,01.01.2020
2020,Sachsen,01.01.,154.0,01.01.2020
2020,Sachsen-Anhalt,01.01.,103.0,01.01.2020
2020,Thüringen,01.01.,79.0,01.01.2020
2019,Schleswig-Holstein,01.01.,96.0,01.01.2019
2019,Hamburg,01.01.,59.0,01.01.2019
2019,Niedersachsen,01.01.,264.0,01.01.2019
2019,Bremen,01.01.,24.0,01.01.2019
2019,Nordrhein-Westfalen,01.01.,552.0,01.01.2019
2019,Hessen,01.01.,188.0,01.01.2019
2019,Rheinland-Pfalz,01.01.,135.0,01.01.2019
2019,Baden-Württemberg,01.01.,304.0,01.01.2019
2019,Bayern,01.01.,387.0,01.01.2019
2019,Saarland,01.01.,28.0,01.01.2019
2019,Berlin,01.01.,103.0,01.01.2019
2019,Brandenburg,01.01.,90.0,01.01.2019
2019,Mecklenburg-Vorpommern,01.01.,61.0,01.01.2019
2019,Sachsen,01.01.,160.0,01.01.2019
2019,Sachsen-Anhalt,01.01.,103.0,01.01.2019
2019,Thüringen,01.01.,85.0,01.01.2019
2020,Schleswig-Holstein,02.01.,115.0,02.01.2020
2020,Hamburg,02.01.,52.0,02.01.2020
2020,Niedersachsen,02.01.,309.0,02.01.2020
2020,Bremen,02.01.,21.0,02.01.2020
2020,Nordrhein-Westfalen,02.01.,628.0,02.01.2020
2020,Hessen,02.01.,184.0,02.01.2020
2020,Rheinland-Pfalz,02.01.,128.0,02.01.2020
2020,Baden-Württemberg,02.01.,333.0,02.01.2020
2020,Bayern,02.01.,381.0,02.01.2020
2020,Saarland,02.01.,36.0,02.01.2020
2020,Berlin,02.01.,105.0,02.01.2020
2020,Brandenburg,02.01.,86.0,02.01.2020
2020,Mecklenburg-Vorpommern,02.01.,58.0,02.01.2020
2020,Sachsen,02.01.,193.0,02.01.2020
2020,Sachsen-Anhalt,02.01.,109.0,02.01.2020
2020,Thüringen,02.01.,71.0,02.01.2020
2019,Schleswig-Holstein,02.01.,90.0,02.01.2019
2019,Hamburg,02.01.,38.0,02.01.2019
2019,Niedersachsen,02.01.,261.0,02.01.2019
2019,Bremen,02.01.,28.0,02.01.2019
2019,Nordrhein-Westfalen,02.01.,576.0,02.01.2019
2019,Hessen,02.01.,204.0,02.01.2019
2019,Rheinland-Pfalz,02.01.,118.0,02.01.2019
2019,Baden-Württemberg,02.01.,319.0,02.01.2019
2019,Bayern,02.01.,353.0,02.01.2019
2019,Saarland,02.01.,38.0,02.01.2019
2019,Berlin,02.01.,108.0,02.01.2019
2019,Brandenburg,02.01.,93.0,02.01.2019
2019,Mecklenburg-Vorpommern,02.01.,64.0,02.01.2019
2019,Sachsen,02.01.,155.0,02.01.2019
2019,Sachsen-Anhalt,02.01.,108.0,02.01.2019
2019,Thüringen,02.01.,89.0,02.01.2019
2020,Schleswig-Holstein,03.01.,106.0,03.01.2020
2020,Hamburg,03.01.,52.0,03.01.2020
2020,Niedersachsen,03.01.,274.0,03.01.2020
2020,Bremen,03.01.,23.0,03.01.2020
2020,Nordrhein-Westfalen,03.01.,614.0,03.01.2020
2020,Hessen,03.01.,199.0,03.01.2020
2020,Rheinland-Pfalz,03.01.,124.0,03.01.2020
2020,Baden-Württemberg,03.01.,338.0,03.01.2020
2020,Bayern,03.01.,400.0,03.01.2020
2020,Saarland,03.01.,34.0,03.01.2020
2020,Berlin,03.01.,96.0,03.01.2020
2020,Brandenburg,03.01.,85.0,03.01.2020
2020,Mecklenburg-Vorpommern,03.01.,61.0,03.01.2020
2020,Sachsen,03.01.,153.0,03.01.2020
2020,Sachsen-Anhalt,03.01.,115.0,03.01.2020
2020,Thüringen,03.01.,87.0,03.01.2020
2019,Schleswig-Holstein,03.01.,96.0,03.01.2019
2019,Hamburg,03.01.,50.0,03.01.2019
2019,Niedersachsen,03.01.,255.0,03.01.2019
2019,Bremen,03.01.,24.0,03.01.2019
2019,Nordrhein-Westfalen,03.01.,578.0,03.01.2019
2019,Hessen,03.01.,175.0,03.01.2019
2019,Rheinland-Pfalz,03.01.,156.0,03.01.2019
2019,Baden-Württemberg,03.01.,306.0,03.01.2019
2019,Bayern,03.01.,376.0,03.01.2019
2019,Saarland,03.01.,33.0,03.01.2019
2019,Berlin,03.01.,86.0,03.01.2019
2019,Brandenburg,03.01.,88.0,03.01.2019
2019,Mecklenburg-Vorpommern,03.01.,63.0,03.01.2019
2019,Sachsen,03.01.,150.0,03.01.2019
2019,Sachsen-Anhalt,03.01.,89.0,03.01.2019
2019,Thüringen,03.01.,85.0,03.01.2019
2020,Schleswig-Holstein,04.01.,113.0,04.01.2020
2020,Hamburg,04.01.,56.0,04.01.2020
2020,Niedersachsen,04.01.,282.0,04.01.2020
2020,Bremen,04.01.,20.0,04.01.2020
2020,Nordrhein-Westfalen,04.01.,588.0,04.01.2020
2020,Hessen,04.01.,182.0,04.01.2020
2020,Rheinland-Pfalz,04.01.,133.0,04.01.2020
2020,Baden-Württemberg,04.01.,355.0,04.01.2020
2020,Bayern,04.01.,371.0,04.01.2020
2020,Saarland,04.01.,44.0,04.01.2020
2020,Berlin,04.01.,116.0,04.01.2020
2020,Brandenburg,04.01.,108.0,04.01.2020
2020,Mecklenburg-Vorpommern,04.01.,46.0,04.01.2020
2020,Sachsen,04.01.,157.0,04.01.2020
2020,Sachsen-Anhalt,04.01.,99.0,04.01.2020
2020,Thüringen,04.01.,95.0,04.01.2020
2019,Schleswig-Holstein,04.01.,104.0,04.01.2019
2019,Hamburg,04.01.,52.0,04.01.2019
2019,Niedersachsen,04.01.,261.0,04.01.2019
2019,Bremen,04.01.,30.0,04.01.2019
2019,Nordrhein-Westfalen,04.01.,615.0,04.01.2019
2019,Hessen,04.01.,210.0,04.01.2019
2019,Rheinland-Pfalz,04.01.,140.0,04.01.2019
2019,Baden-Württemberg,04.01.,345.0,04.01.2019
2019,Bayern,04.01.,382.0,04.01.2019
2019,Saarland,04.01.,46.0,04.01.2019
2019,Berlin,04.01.,101.0,04.01.2019
2019,Brandenburg,04.01.,97.0,04.01.2019
2019,Mecklenburg-Vorpommern,04.01.,52.0,04.01.2019
2019,Sachsen,04.01.,159.0,04.01.2019
2019,Sachsen-Anhalt,04.01.,103.0,04.01.2019
2019,Thüringen,04.01.,85.0,04.01.2019
2020,Schleswig-Holstein,05.01.,108.0,05.01.2020
2020,Hamburg,05.01.,47.0,05.01.2020
2020,Niedersachsen,05.01.,226.0,05.01.2020
2020,Bremen,05.01.,18.0,05.01.2020
2020,Nordrhein-Westfalen,05.01.,563.0,05.01.2020
2020,Hessen,05.01.,195.0,05.01.2020
2020,Rheinland-Pfalz,05.01.,139.0,05.01.2020
2020,Baden-Württemberg,05.01.,280.0,05.01.2020
2020,Bayern,05.01.,373.0,05.01.2020
2020,Saarland,05.01.,35.0,05.01.2020
2020,Berlin,05.01.,93.0,05.01.2020
2020,Brandenburg,05.01.,92.0,05.01.2020
2020,Mecklenburg-Vorpommern,05.01.,58.0,05.01.2020
2020,Sachsen,05.01.,126.0,05.01.2020
2020,Sachsen-Anhalt,05.01.,109.0,05.01.2020
2020,Thüringen,05.01.,74.0,05.01.2020
2019,Schleswig-Holstein,05.01.,103.0,05.01.2019
2019,Hamburg,05.01.,47.0,05.01.2019
2019,Niedersachsen,05.01.,243.0,05.01.2019
2019,Bremen,05.01.,14.0,05.01.2019
2019,Nordrhein-Westfalen,05.01.,651.0,05.01.2019
2019,Hessen,05.01.,199.0,05.01.2019
2019,Rheinland-Pfalz,05.01.,152.0,05.01.2019
2019,Baden-Württemberg,05.01.,317.0,05.01.2019
2019,Bayern,05.01.,417.0,05.01.2019
2019,Saarland,05.01.,41.0,05.01.2019
2019,Berlin,05.01.,104.0,05.01.2019
2019,Brandenburg,05.01.,116.0,05.01.2019
2019,Mecklenburg-Vorpommern,05.01.,64.0,05.01.2019
2019,Sachsen,05.01.,163.0,05.01.2019
2019,Sachsen-Anhalt,05.01.,95.0,05.01.2019
2019,Thüringen,05.01.,92.0,05.01.2019
2020,Schleswig-Holstein,06.01.,85.0,06.01.2020
2020,Hamburg,06.01.,58.0,06.01.2020
2020,Niedersachsen,06.01.,308.0,06.01.2020
2020,Bremen,06.01.,26.0,06.01.2020
2020,Nordrhein-Westfalen,06.01.,601.0,06.01.2020
2020,Hessen,06.01.,209.0,06.01.2020
2020,Rheinland-Pfalz,06.01.,137.0,06.01.2020
2020,Baden-Württemberg,06.01.,270.0,06.01.2020
2020,Bayern,06.01.,373.0,06.01.2020
2020,Saarland,06.01.,33.0,06.01.2020
2020,Berlin,06.01.,107.0,06.01.2020
2020,Brandenburg,06.01.,110.0,06.01.2020
2020,Mecklenburg-Vorpommern,06.01.,60.0,06.01.2020
2020,Sachsen,06.01.,160.0,06.01.2020
2020,Sachsen-Anhalt,06.01.,69.0,06.01.2020
2020,Thüringen,06.01.,79.0,06.01.2020
2019,Schleswig-Holstein,06.01.,99.0,06.01.2019
2019,Hamburg,06.01.,61.0,06.01.2019
2019,Niedersachsen,06.01.,253.0,06.01.2019
2019,Bremen,06.01.,24.0,06.01.2019
2019,Nordrhein-Westfalen,06.01.,544.0,06.01.2019
2019,Hessen,06.01.,179.0,06.01.2019
2019,Rheinland-Pfalz,06.01.,146.0,06.01.2019
2019,Baden-Württemberg,06.01.,317.0,06.01.2019
2019,Bayern,06.01.,374.0,06.01.2019
2019,Saarland,06.01.,48.0,06.01.2019
2019,Berlin,06.01.,106.0,06.01.2019
2019,Brandenburg,06.01.,76.0,06.01.2019
2019,Mecklenburg-Vorpommern,06.01.,67.0,06.01.2019
2019,Sachsen,06.01.,147.0,06.01.2019
2019,Sachsen-Anhalt,06.01.,99.0,06.01.2019
2019,Thüringen,06.01.,76.0,06.01.2019
2020,Schleswig-Holstein,07.01.,118.0,07.01.2020
2020,Hamburg,07.01.,46.0,07.01.2020
2020,Niedersachsen,07.01.,313.0,07.01.2020
2020,Bremen,07.01.,25.0,07.01.2020
2020,Nordrhein-Westfalen,07.01.,596.0,07.01.2020
2020,Hessen,07.01.,190.0,07.01.2020
2020,Rheinland-Pfalz,07.01.,136.0,07.01.2020
2020,Baden-Württemberg,07.01.,298.0,07.01.2020
2020,Bayern,07.01.,406.0,07.01.2020
2020,Saarland,07.01.,31.0,07.01.2020
2020,Berlin,07.01.,102.0,07.01.2020
2020,Brandenburg,07.01.,102.0,07.01.2020
2020,Mecklenburg-Vorpommern,07.01.,59.0,07.01.2020
2020,Sachsen,07.01.,173.0,07.01.2020
2020,Sachsen-Anhalt,07.01.,103.0,07.01.2020
2020,Thüringen,07.01.,104.0,07.01.2020
2019,Schleswig-Holstein,07.01.,99.0,07.01.2019
2019,Hamburg,07.01.,42.0,07.01.2019
2019,Niedersachsen,07.01.,267.0,07.01.2019
2019,Bremen,07.01.,19.0,07.01.2019
2019,Nordrhein-Westfalen,07.01.,646.0,07.01.2019
2019,Hessen,07.01.,186.0,07.01.2019
2019,Rheinland-Pfalz,07.01.,148.0,07.01.2019
2019,Baden-Württemberg,07.01.,336.0,07.01.2019
2019,Bayern,07.01.,412.0,07.01.2019
2019,Saarland,07.01.,31.0,07.01.2019
2019,Berlin,07.01.,107.0,07.01.2019
2019,Brandenburg,07.01.,95.0,07.01.2019
2019,Mecklenburg-Vorpommern,07.01.,60.0,07.01.2019
2019,Sachsen,07.01.,129.0,07.01.2019
2019,Sachsen-Anhalt,07.01.,91.0,07.01.2019
2019,Thüringen,07.01.,81.0,07.01.2019
2020,Schleswig-Holstein,08.01.,119.0,08.01.2020
2020,Hamburg,08.01.,69.0,08.01.2020
2020,Niedersachsen,08.01.,273.0,08.01.2020
2020,Bremen,08.01.,24.0,08.01.2020
2020,Nordrhein-Westfalen,08.01.,640.0,08.01.2020
2020,Hessen,08.01.,214.0,08.01.2020
2020,Rheinland-Pfalz,08.01.,174.0,08.01.2020
2020,Baden-Württemberg,08.01.,313.0,08.01.2020
2020,Bayern,08.01.,363.0,08.01.2020
2020,Saarland,08.01.,33.0,08.01.2020
2020,Berlin,08.01.,94.0,08.01.2020
2020,Brandenburg,08.01.,96.0,08.01.2020
2020,Mecklenburg-Vorpommern,08.01.,58.0,08.01.2020
2020,Sachsen,08.01.,183.0,08.01.2020
2020,Sachsen-Anhalt,08.01.,93.0,08.01.2020
2020,Thüringen,08.01.,86.0,08.01.2020
2019,Schleswig-Holstein,08.01.,100.0,08.01.2019
2019,Hamburg,08.01.,49.0,08.01.2019
2019,Niedersachsen,08.01.,273.0,08.01.2019
2019,Bremen,08.01.,26.0,08.01.2019
2019,Nordrhein-Westfalen,08.01.,613.0,08.01.2019
2019,Hessen,08.01.,207.0,08.01.2019
2019,Rheinland-Pfalz,08.01.,146.0,08.01.2019
2019,Baden-Württemberg,08.01.,322.0,08.01.2019
2019,Bayern,08.01.,423.0,08.01.2019
2019,Saarland,08.01.,38.0,08.01.2019
2019,Berlin,08.01.,110.0,08.01.2019
2019,Brandenburg,08.01.,97.0,08.01.2019
2019,Mecklenburg-Vorpommern,08.01.,79.0,08.01.2019
2019,Sachsen,08.01.,165.0,08.01.2019
2019,Sachsen-Anhalt,08.01.,83.0,08.01.2019
2019,Thüringen,08.01.,92.0,08.01.2019
2020,Schleswig-Holstein,09.01.,108.0,09.01.2020
2020,Hamburg,09.01.,62.0,09.01.2020
2020,Niedersachsen,09.01.,311.0,09.01.2020
2020,Bremen,09.01.,22.0,09.01.2020
2020,Nordrhein-Westfalen,09.01.,664.0,09.01.2020
2020,Hessen,09.01.,202.0,09.01.2020
2020,Rheinland-Pfalz,09.01.,130.0,09.01.2020
2020,Baden-Württemberg,09.01.,303.0,09.01.2020
2020,Bayern,09.01.,420.0,09.01.2020
2020,Saarland,09.01.,35.0,09.01.2020
2020,Berlin,09.01.,110.0,09.01.2020
2020,Brandenburg,09.01.,100.0,09.01.2020
2020,Mecklenburg-Vorpommern,09.01.,62.0,09.01.2020
2020,Sachsen,09.01.,188.0,09.01.2020
2020,Sachsen-Anhalt,09.01.,117.0,09.01.2020
2020,Thüringen,09.01.,77.0,09.01.2020
2019,Schleswig-Holstein,09.01.,99.0,09.01.2019
2019,Hamburg,09.01.,47.0,09.01.2019
2019,Niedersachsen,09.01.,263.0,09.01.2019
2019,Bremen,09.01.,24.0,09.01.2019
2019,Nordrhein-Westfalen,09.01.,642.0,09.01.2019
2019,Hessen,09.01.,182.0,09.01.2019
2019,Rheinland-Pfalz,09.01.,154.0,09.01.2019
2019,Baden-Württemberg,09.01.,343.0,09.01.2019
2019,Bayern,09.01.,428.0,09.01.2019
2019,Saarland,09.01.,27.0,09.01.2019
2019,Berlin,09.01.,92.0,09.01.2019
2019,Brandenburg,09.01.,92.0,09.01.2019
2019,Mecklenburg-Vorpommern,09.01.,61.0,09.01.2019
2019,Sachsen,09.01.,146.0,09.01.2019
2019,Sachsen-Anhalt,09.01.,84.0,09.01.2019
2019,Thüringen,09.01.,74.0,09.01.2019
2020,Schleswig-Holstein,10.01.,125.0,10.01.2020
2020,Hamburg,10.01.,52.0,10.01.2020
2020,Niedersachsen,10.01.,318.0,10.01.2020
2020,Bremen,10.01.,30.0,10.01.2020
2020,Nordrhein-Westfalen,10.01.,582.0,10.01.2020
2020,Hessen,10.01.,189.0,10.01.2020
2020,Rheinland-Pfalz,10.01.,150.0,10.01.2020
2020,Baden-Württemberg,10.01.,352.0,10.01.2020
2020,Bayern,10.01.,429.0,10.01.2020
2020,Saarland,10.01.,37.0,10.01.2020
2020,Berlin,10.01.,96.0,10.01.2020
2020,Brandenburg,10.01.,99.0,10.01.2020
2020,Mecklenburg-Vorpommern,10.01.,63.0,10.01.2020
2020,Sachsen,10.01.,183.0,10.01.2020
2020,Sachsen-Anhalt,10.01.,75.0,10.01.2020
2020,Thüringen,10.01.,106.0,10.01.2020
2019,Schleswig-Holstein,10.01.,88.0,10.01.2019
2019,Hamburg,10.01.,59.0,10.01.2019
2019,Niedersachsen,10.01.,289.0,10.01.2019
2019,Bremen,10.01.,23.0,10.01.2019
2019,Nordrhein-Westfalen,10.01.,572.0,10.01.2019
2019,Hessen,10.01.,178.0,10.01.2019
2019,Rheinland-Pfalz,10.01.,153.0,10.01.2019
2019,Baden-Württemberg,10.01.,360.0,10.01.2019
2019,Bayern,10.01.,391.0,10.01.2019
2019,Saarland,10.01.,37.0,10.01.2019
2019,Berlin,10.01.,88.0,10.01.2019
2019,Brandenburg,10.01.,90.0,10.01.2019
2019,Mecklenburg-Vorpommern,10.01.,73.0,10.01.2019
2019,Sachsen,10.01.,171.0,10.01.2019
2019,Sachsen-Anhalt,10.01.,105.0,10.01.2019
2019,Thüringen,10.01.,73.0,10.01.2019
2020,Schleswig-Holstein,11.01.,96.0,11.01.2020
2020,Hamburg,11.01.,50.0,11.01.2020
2020,Niedersachsen,11.01.,297.0,11.01.2020
2020,Bremen,11.01.,27.0,11.01.2020
2020,Nordrhein-Westfalen,11.01.,536.0,11.01.2020
2020,Hessen,11.01.,180.0,11.01.2020
2020,Rheinland-Pfalz,11.01.,149.0,11.01.2020
2020,Baden-Württemberg,11.01.,326.0,11.01.2020
2020,Bayern,11.01.,383.0,11.01.2020
2020,Saarland,11.01.,51.0,11.01.2020
2020,Berlin,11.01.,79.0,11.01.2020
2020,Brandenburg,11.01.,101.0,11.01.2020
2020,Mecklenburg-Vorpommern,11.01.,61.0,11.01.2020
2020,Sachsen,11.01.,161.0,11.01.2020
2020,Sachsen-Anhalt,11.01.,96.0,11.01.2020
2020,Thüringen,11.01.,86.0,11.01.2020
2019,Schleswig-Holstein,11.01.,91.0,11.01.2019
2019,Hamburg,11.01.,59.0,11.01.2019
2019,Niedersachsen,11.01.,264.0,11.01.2019
2019,Bremen,11.01.,29.0,11.01.2019
2019,Nordrhein-Westfalen,11.01.,626.0,11.01.2019
2019,Hessen,11.01.,181.0,11.01.2019
2019,Rheinland-Pfalz,11.01.,128.0,11.01.2019
2019,Baden-Württemberg,11.01.,369.0,11.01.2019
2019,Bayern,11.01.,395.0,11.01.2019
2019,Saarland,11.01.,33.0,11.01.2019
2019,Berlin,11.01.,103.0,11.01.2019
2019,Brandenburg,11.01.,100.0,11.01.2019
2019,Mecklenburg-Vorpommern,11.01.,62.0,11.01.2019
2019,Sachsen,11.01.,164.0,11.01.2019
2019,Sachsen-Anhalt,11.01.,94.0,11.01.2019
2019,Thüringen,11.01.,98.0,11.01.2019
2020,Schleswig-Holstein,12.01.,96.0,12.01.2020
2020,Hamburg,12.01.,41.0,12.01.2020
2020,Niedersachsen,12.01.,234.0,12.01.2020
2020,Bremen,12.01.,24.0,12.01.2020
2020,Nordrhein-Westfalen,12.01.,574.0,12.01.2020
2020,Hessen,12.01.,193.0,12.01.2020
2020,Rheinland-Pfalz,12.01.,129.0,12.01.2020
2020,Baden-Württemberg,12.01.,303.0,12.01.2020
2020,Bayern,12.01.,390.0,12.01.2020
2020,Saarland,12.01.,39.0,12.01.2020
2020,Berlin,12.01.,111.0,12.01.2020
2020,Brandenburg,12.01.,95.0,12.01.2020
2020,Mecklenburg-Vorpommern,12.01.,50.0,12.01.2020
2020,Sachsen,12.01.,168.0,12.01.2020
2020,Sachsen-Anhalt,12.01.,81.0,12.01.2020
2020,Thüringen,12.01.,85.0,12.01.2020
2019,Schleswig-Holstein,12.01.,98.0,12.01.2019
2019,Hamburg,12.01.,49.0,12.01.2019
2019,Niedersachsen,12.01.,276.0,12.01.2019
2019,Bremen,12.01.,25.0,12.01.2019
2019,Nordrhein-Westfalen,12.01.,561.0,12.01.2019
2019,Hessen,12.01.,184.0,12.01.2019
2019,Rheinland-Pfalz,12.01.,134.0,12.01.2019
2019,Baden-Württemberg,12.01.,341.0,12.01.2019
2019,Bayern,12.01.,358.0,12.01.2019
2019,Saarland,12.01.,42.0,12.01.2019
2019,Berlin,12.01.,110.0,12.01.2019
2019,Brandenburg,12.01.,103.0,12.01.2019
2019,Mecklenburg-Vorpommern,12.01.,59.0,12.01.2019
2019,Sachsen,12.01.,173.0,12.01.2019
2019,Sachsen-Anhalt,12.01.,74.0,12.01.2019
2019,Thüringen,12.01.,94.0,12.01.2019
2020,Schleswig-Holstein,13.01.,106.0,13.01.2020
2020,Hamburg,13.01.,44.0,13.01.2020
2020,Niedersachsen,13.01.,282.0,13.01.2020
2020,Bremen,13.01.,24.0,13.01.2020
2020,Nordrhein-Westfalen,13.01.,601.0,13.01.2020
2020,Hessen,13.01.,179.0,13.01.2020
2020,Rheinland-Pfalz,13.01.,144.0,13.01.2020
2020,Baden-Württemberg,13.01.,329.0,13.01.2020
2020,Bayern,13.01.,399.0,13.01.2020
2020,Saarland,13.01.,29.0,13.01.2020
2020,Berlin,13.01.,108.0,13.01.2020
2020,Brandenburg,13.01.,106.0,13.01.2020
2020,Mecklenburg-Vorpommern,13.01.,57.0,13.01.2020
2020,Sachsen,13.01.,177.0,13.01.2020
2020,Sachsen-Anhalt,13.01.,85.0,13.01.2020
2020,Thüringen,13.01.,83.0,13.01.2020
2019,Schleswig-Holstein,13.01.,92.0,13.01.2019
2019,Hamburg,13.01.,50.0,13.01.2019
2019,Niedersachsen,13.01.,237.0,13.01.2019
2019,Bremen,13.01.,22.0,13.01.2019
2019,Nordrhein-Westfalen,13.01.,597.0,13.01.2019
2019,Hessen,13.01.,185.0,13.01.2019
2019,Rheinland-Pfalz,13.01.,135.0,13.01.2019
2019,Baden-Württemberg,13.01.,316.0,13.01.2019
2019,Bayern,13.01.,375.0,13.01.2019
2019,Saarland,13.01.,36.0,13.01.2019
2019,Berlin,13.01.,100.0,13.01.2019
2019,Brandenburg,13.01.,93.0,13.01.2019
2019,Mecklenburg-Vorpommern,13.01.,57.0,13.01.2019
2019,Sachsen,13.01.,157.0,13.01.2019
2019,Sachsen-Anhalt,13.01.,88.0,13.01.2019
2019,Thüringen,13.01.,73.0,13.01.2019
2020,Schleswig-Holstein,14.01.,114.0,14.01.2020
2020,Hamburg,14.01.,46.0,14.01.2020
2020,Niedersachsen,14.01.,271.0,14.01.2020
2020,Bremen,14.01.,18.0,14.01.2020
2020,Nordrhein-Westfalen,14.01.,605.0,14.01.2020
2020,Hessen,14.01.,197.0,14.01.2020
2020,Rheinland-Pfalz,14.01.,154.0,14.01.2020
2020,Baden-Württemberg,14.01.,331.0,14.01.2020
2020,Bayern,14.01.,389.0,14.01.2020
2020,Saarland,14.01.,37.0,14.01.2020
2020,Berlin,14.01.,131.0,14.01.2020
2020,Brandenburg,14.01.,106.0,14.01.2020
2020,Mecklenburg-Vorpommern,14.01.,60.0,14.01.2020
2020,Sachsen,14.01.,173.0,14.01.2020
2020,Sachsen-Anhalt,14.01.,99.0,14.01.2020
2020,Thüringen,14.01.,95.0,14.01.2020
2019,Schleswig-Holstein,14.01.,114.0,14.01.2019
2019,Hamburg,14.01.,52.0,14.01.2019
2019,Niedersachsen,14.01.,276.0,14.01.2019
2019,Bremen,14.01.,21.0,14.01.2019
2019,Nordrhein-Westfalen,14.01.,605.0,14.01.2019
2019,Hessen,14.01.,195.0,14.01.2019
2019,Rheinland-Pfalz,14.01.,149.0,14.01.2019
2019,Baden-Württemberg,14.01.,339.0,14.01.2019
2019,Bayern,14.01.,402.0,14.01.2019
2019,Saarland,14.01.,39.0,14.01.2019
2019,Berlin,14.01.,90.0,14.01.2019
2019,Brandenburg,14.01.,107.0,14.01.2019
2019,Mecklenburg-Vorpommern,14.01.,65.0,14.01.2019
2019,Sachsen,14.01.,143.0,14.01.2019
2019,Sachsen-Anhalt,14.01.,104.0,14.01.2019
2019,Thüringen,14.01.,86.0,14.01.2019
2020,Schleswig-Holstein,15.01.,104.0,15.01.2020
2020,Hamburg,15.01.,52.0,15.01.2020
2020,Niedersachsen,15.01.,270.0,15.01.2020
2020,Bremen,15.01.,14.0,15.01.2020
2020,Nordrhein-Westfalen,15.01.,563.0,15.01.2020
2020,Hessen,15.01.,190.0,15.01.2020
2020,Rheinland-Pfalz,15.01.,135.0,15.01.2020
2020,Baden-Württemberg,15.01.,299.0,15.01.2020
2020,Bayern,15.01.,414.0,15.01.2020
2020,Saarland,15.01.,44.0,15.01.2020
2020,Berlin,15.01.,102.0,15.01.2020
2020,Brandenburg,15.01.,94.0,15.01.2020
2020,Mecklenburg-Vorpommern,15.01.,60.0,15.01.2020
2020,Sachsen,15.01.,156.0,15.01.2020
2020,Sachsen-Anhalt,15.01.,96.0,15.01.2020
2020,Thüringen,15.01.,80.0,15.01.2020
2019,Schleswig-Holstein,15.01.,113.0,15.01.2019
2019,Hamburg,15.01.,52.0,15.01.2019
2019,Niedersachsen,15.01.,266.0,15.01.2019
2019,Bremen,15.01.,12.0,15.01.2019
2019,Nordrhein-Westfalen,15.01.,600.0,15.01.2019
2019,Hessen,15.01.,188.0,15.01.2019
2019,Rheinland-Pfalz,15.01.,120.0,15.01.2019
2019,Baden-Württemberg,15.01.,344.0,15.01.2019
2019,Bayern,15.01.,422.0,15.01.2019
2019,Saarland,15.01.,37.0,15.01.2019
2019,Berlin,15.01.,118.0,15.01.2019
2019,Brandenburg,15.01.,82.0,15.01.2019
2019,Mecklenburg-Vorpommern,15.01.,76.0,15.01.2019
2019,Sachsen,15.01.,174.0,15.01.2019
2019,Sachsen-Anhalt,15.01.,101.0,15.01.2019
2019,Thüringen,15.01.,95.0,15.01.2019
2020,Schleswig-Holstein,16.01.,125.0,16.01.2020
2020,Hamburg,16.01.,48.0,16.01.2020
2020,Niedersachsen,16.01.,265.0,16.01.2020
2020,Bremen,16.01.,20.0,16.01.2020
2020,Nordrhein-Westfalen,16.01.,642.0,16.01.2020
2020,Hessen,16.01.,219.0,16.01.2020
2020,Rheinland-Pfalz,16.01.,135.0,16.01.2020
2020,Baden-Württemberg,16.01.,338.0,16.01.2020
2020,Bayern,16.01.,377.0,16.01.2020
2020,Saarland,16.01.,52.0,16.01.2020
2020,Berlin,16.01.,105.0,16.01.2020
2020,Brandenburg,16.01.,97.0,16.01.2020
2020,Mecklenburg-Vorpommern,16.01.,55.0,16.01.2020
2020,Sachsen,16.01.,160.0,16.01.2020
2020,Sachsen-Anhalt,16.01.,88.0,16.01.2020
2020,Thüringen,16.01.,106.0,16.01.2020
2019,Schleswig-Holstein,16.01.,97.0,16.01.2019
2019,Hamburg,16.01.,55.0,16.01.2019
2019,Niedersachsen,16.01.,274.0,16.01.2019
2019,Bremen,16.01.,24.0,16.01.2019
2019,Nordrhein-Westfalen,16.01.,579.0,16.01.2019
2019,Hessen,16.01.,200.0,16.01.2019
2019,Rheinland-Pfalz,16.01.,147.0,16.01.2019
2019,Baden-Württemberg,16.01.,367.0,16.01.2019
2019,Bayern,16.01.,408.0,16.01.2019
2019,Saarland,16.01.,38.0,16.01.2019
2019,Berlin,16.01.,107.0,16.01.2019
2019,Brandenburg,16.01.,96.0,16.01.2019
2019,Mecklenburg-Vorpommern,16.01.,63.0,16.01.2019
2019,Sachsen,16.01.,157.0,16.01.2019
2019,Sachsen-Anhalt,16.01.,99.0,16.01.2019
2019,Thüringen,16.01.,79.0,16.01.2019
2020,Schleswig-Holstein,17.01.,91.0,17.01.2020
2020,Hamburg,17.01.,45.0,17.01.2020
